,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(51,)",[-0.43226527 -0.39506038 -0.37531349 -0.4213723  -0.36843703],-0.39848969428453573,"('_HouseStyle_4',)",0.03208834729977006,0.024965824345843792,0.012482912172921896
2,"(51, 78)",[-0.35879386 -0.31823059 -0.32797229 -0.37193337 -0.30701828],-0.33678967874027843,"('_HouseStyle_4', '_Foundation_1')",0.03162852399990806,0.024608066196842363,0.01230403309842118
3,"(3, 51, 78)",[-0.28910334 -0.27101033 -0.26065464 -0.30542062 -0.24013072],-0.273263932075408,"('_GrLivArea', '_HouseStyle_4', '_Foundation_1')",0.029007861664069705,0.022569101867047227,0.011284550933523613
4,"(3, 6, 51, 78)",[-0.25103285 -0.21657176 -0.23303249 -0.25221498 -0.20711892],-0.23199419835473734,"('_GrLivArea', '_BuildingAge', '_HouseStyle_4', '_Foundation_1')",0.023199835222029442,0.018050259977392406,0.009025129988696201
5,"(3, 6, 7, 51, 78)",[-0.21091274 -0.17735912 -0.21484145 -0.23158402 -0.18922856],-0.20478517980355854,"('_GrLivArea', '_BuildingAge', '_TotalBsmtSF', '_HouseStyle_4', '_Foundation_1')",0.024730083609997622,0.019240845210798857,0.009620422605399429
6,"(3, 6, 7, 16, 51, 78)",[-0.20827923 -0.16699069 -0.21702758 -0.21742088 -0.18312044],-0.19856776380064914,"('_GrLivArea', '_BuildingAge', '_TotalBsmtSF', '_OverallCond', '_HouseStyle_4', '_Foundation_1')",0.025873956389166636,0.020130817094110232,0.010065408547055116
7,"(3, 6, 7, 10, 16, 51, 78)",[-0.18291925 -0.17243523 -0.19938001 -0.20171151 -0.17046516],-0.1853822335149548,"('_GrLivArea', '_BuildingAge', '_TotalBsmtSF', '_Electrical', '_OverallCond', '_HouseStyle_4', '_Foundation_1')",0.016844600695910195,0.013105671607866999,0.006552835803933499
8,"(3, 6, 7, 10, 13, 16, 51, 78)",[-0.19679174 -0.16926265 -0.19855388 -0.19763766 -0.15808553],-0.18406629174348177,"('_GrLivArea', '_BuildingAge', '_TotalBsmtSF', '_Electrical', '_LotArea', '_OverallCond', '_HouseStyle_4', '_Foundation_1')",0.021888902403337282,0.0170303097077534,0.0085151548538767
9,"(3, 5, 6, 7, 10, 13, 16, 51, 78)",[-0.17602676 -0.16049742 -0.20216418 -0.20373861 -0.157724  ],-0.18003019566032846,"('_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Electrical', '_LotArea', '_OverallCond', '_HouseStyle_4', '_Foundation_1')",0.025363745126755103,0.01973385539840056,0.00986692769920028
10,"(3, 5, 6, 7, 10, 13, 16, 51, 73, 78)",[-0.17530443 -0.14944973 -0.19480446 -0.16870036 -0.16407243],-0.17046628312931555,"('_GrLivArea', '_OverallQual', '_BuildingAge', '_TotalBsmtSF', '_Electrical', '_LotArea', '_OverallCond', '_HouseStyle_4', '_Neighborhood_2', '_Foundation_1')",0.019076506045463768,0.014842169794980013,0.0074210848974900065
